,dg_id,player_name,12_mo_long_game,12_mo_short_game,#_of_rounds,tour
145,11826,"Lee, Danny",0.33550527999265856,-0.6317295564627398,66.0,pga
146,11889,"Fox, Ryan",0.11320903859042736,0.007155214385670172,108.0,pga
148,11955,"Frittelli, Dylan",-0.9703939813648942,0.21926936757304333,84.0,pga
149,12069,"Stanley, Kyle",0.8158862482356692,-1.0232576452243776,84.0,pga
150,12131,"Anderson, Mark",-0.3478900813552619,-0.02599466482821524,60.0,pga
151,12169,"Gainey, Tommy",-0.633916377847427,-1.8208788780679048,37.0,pga
156,12294,"Fleetwood, Tommy",0.8487344172425648,0.5285488081863303,98.0,pga
159,12337,"Kokrak, Jason",0.4154643246488058,0.011376216759329694,55.0,pga
160,12359,"Stallings, Scott",-0.07346128088450365,-0.20831425265124628,72.0,pga
163,12423,"Kirk, Chris",0.609303652425286,-0.22235526508785683,85.0,pga
164,12425,"Todd, Brendon",-0.6162603547498792,0.7385424987871325,101.0,pga
167,12477,"McGirt, William",-1.2021325082557694,-0.1934909149288912,33.0,pga
170,12577,"Woodland, Gary",0.301069405021196,-0.4775710467678464,78.0,pga
173,12669,"Lahiri, Anirban",0.7859913464959493,-0.73852146406534,46.0,pga
175,12808,"Grillo, Emiliano",0.3927802294158991,-0.2752887834132376,97.0,pga
178,12846,"Herman, Jim",-0.993820264828639,-0.7954520439572624,58.0,pga
179,12909,"Campos, Rafael",-0.3897347524617635,-0.7381950791338109,60.0,pga
180,12920,"Willett, Danny",-0.3579333747509191,0.18100582886432617,77.0,pga
181,12946,"Thompson, Michael",-0.18230416660703747,0.1947848957604793,82.0,pga
182,12965,"Fowler, Rickie",-0.15278301992062074,0.1317712292167256,84.0,pga
185,13022,"Stuard, Brian",-1.313924819830989,0.05710034481840826,64.0,pga
186,13026,"Zhang, Xinjun",-0.41576349643936983,-0.43628773712030006,73.0,pga
188,13126,"Taylor, Nick",0.3122887871056184,-0.006772252525938035,88.0,pga
189,13127,"Tway, Kevin",-0.5791858193693762,0.478530265488167,68.0,pga
191,13305,"Chappell, Kevin",-0.5880357074220872,0.16641889686142705,65.0,pga
194,13342,"Gibson, Rhein",-1.799054199752095,0.16142700398742135,61.0,pga
197,13367,"Merritt, Troy",-0.1551464388157843,-0.2926640111213964,81.0,pga
199,13404,"Gligic, Michael",-0.35761099516722283,-0.6343108663414969,70.0,pga
200,13412,"Olesen, Thorbjorn",-0.32894165093711425,0.40171579311335076,106.0,pga
201,13470,"Kizzire, Patton",0.329573232842851,-0.17060299479296506,79.0,pga
204,13497,"Lee, K.H.",-0.31694254101996083,0.19170949187906725,85.0,pga
206,13508,"Vegas, Jhonattan",0.9486936067444774,-0.5015187811918197,75.0,pga
208,13531,"Kodaira, Satoshi",-0.27997335361912684,-0.27666298834698166,61.0,pga
209,13562,"Matsuyama, Hideki",1.1007304685698935,0.6451743620056445,78.0,pga
212,13831,"Knox, Russell",-0.3938593240407307,-0.32096058972049135,41.0,pga
213,13872,"Bradley, Keegan",0.81260589390002,0.031803017294833036,83.0,pga
214,13900,"Lowry, Shane",1.1027727132106242,-0.05469793128398842,93.0,pga
216,13965,"Hadwin, Adam",0.1359594322102256,0.1121799816686116,79.0,pga
217,13971,"Baker, Chris",0.06204920973972781,-0.39850964681114937,59.0,pga
218,13997,"Svensson, Adam",0.4991942062370995,-0.3126298510012087,109.0,pga
219,14000,"Landry, Andrew",-1.2872909912600277,-0.23255978079383438,40.0,pga
220,14002,"Alexander, Tyson",-1.6831110999371155,6.802213472138312e-06,81.0,pga
221,14007,"Martin, Ben",-0.03011856950630997,-0.32556801923068934,80.0,pga
223,14013,"Tringale, Cameron",0.20357672706644908,0.18791221119469895,97.0,pga
224,14016,"Campillo, Jorge",0.03139882404309863,0.10542286427841012,117.0,pga
227,14050,"Sloan, Roger",-0.45999967881031717,0.13038803469472637,65.0,pga
228,14081,"Hoag, Bo",-0.5420315594257441,-0.15505919622327896,31.0,pga
231,14139,"Thomas, Justin",1.091209222752348,0.20828650968745857,75.0,pga
232,14140,"Higgs, Harry",-1.0585394767228227,-1.0501078471809766,45.0,pga
233,14181,"Detry, Thomas",0.15175568060038833,0.3971024706444454,100.0,pga
239,14459,"An, Byeong Hun",0.8577972255598225,0.03547309487645466,79.0,pga
240,14502,"Cauley, Bud",-0.07514122216505531,0.18888945753808123,50.0,pga
241,14509,"Dahmen, Joel",0.5689998088753079,-0.8973652174962599,84.0,pga
243,14577,"English, Harris",-0.12509152599712464,0.802664989996174,89.0,pga
244,14578,"Henley, Russell",0.736997984782586,0.7189595968060791,77.0,pga
245,14606,"Huh, John",-0.21748358612615284,0.021282002142025833,89.0,pga
246,14609,"Kim, Si Woo",0.9680840325284376,-0.05562321223957541,99.0,pga
247,14636,"Spieth, Jordan",0.40534902824766644,-0.040091992124181686,80.0,pga
248,14655,"Murray, Grayson",0.40064566245813277,0.2263129662253148,59.0,pga
249,14698,"Bramlett, Joseph",0.30420483280258515,-0.37859570535140324,79.0,pga
250,14704,"Putnam, Andrew",-0.13725298152884335,0.7016991721805477,91.0,pga
251,14706,"Swafford, Hudson",0.557747034154774,-0.4915399241655388,89.0,pga
253,14775,"Bjork, Alexander",-0.8582888941297521,0.14486946318050178,69.0,pga
254,14776,"Cappelen, Sebastian",-1.4430594093373026,-0.3910642910845231,54.0,pga
259,14796,"Hatton, Tyrrell",0.5720885604792124,0.46171441231927635,81.0,pga
260,14799,"Barnes, Erik",-1.3214404608865755,-0.2663364360964529,44.0,pga
261,14815,"Lingmerth, David",-0.5143544196295061,-0.08130341974160675,71.0,pga
264,14852,"Streb, Robert",-0.5245078603302317,-0.32877246710571084,76.0,pga
266,14926,"Malnati, Peter",-0.8322093120048293,0.24977239925591568,90.0,pga
267,14967,"Hadley, Chesson",-0.18478843699758893,-0.09251041114649072,78.0,pga
270,15004,"Kim, Chan",0.5114610215061135,-0.1349181299488372,88.0,pga
271,15016,"Schwab, Matthias",-1.0017641677778752,-0.7685578848251069,88.0,pga
275,15162,"Drewitt, Brett",-1.0284350804601692,0.06043546513567383,41.0,pga
276,15164,"Lewis, Tom",0.06854058136925922,-0.34947250505165445,95.0,pga
281,15239,"Ledesma, Nelson",-1.1610539507928341,-1.09163529170533,42.0,pga
