,calendar_year,date,event_id,event_name,sg_categories,tour,traditional_stats,distinct_event_id
1801,2020,2020-11-15,14,The Masters,no,pga,no,439
1808,2020,2020-11-08,2020101,Aphrodite Hills Cyprus Showdown,no,euro,no,1520
1811,2020,2020-11-08,20,Vivint Houston Open,yes,pga,yes,458
1815,2020,2020-11-01,528,Bermuda Championship,no,pga,basic,98
1817,2020,2020-11-01,2020100,Cyprus Open,no,euro,no,1526
1820,2020,2020-10-25,527,ZOZO CHAMPIONSHIP @ SHERWOOD,yes,pga,yes,123
1824,2020,2020-10-25,2020086,Italian Open,no,euro,no,1532
1825,2020,2020-10-18,521,THE CJ CUP @ SHADOW CREEK,yes,pga,yes,920
1829,2020,2020-10-18,2020102,Scottish Championship,no,euro,no,1535
1832,2020,2020-10-11,2020078,BMW PGA Championship,no,euro,no,1537
1835,2020,2020-10-11,47,Shriners Hospitals for Children Open,yes,pga,yes,135
1842,2020,2020-10-04,2020060,Aberdeen Standard Investments Scottish Open,no,euro,no,1546
1847,2020,2020-10-04,54,Sanderson Farms Championship,yes,pga,yes,157
1850,2020,2020-09-27,2020046,Dubai Duty Free Irish Open,no,euro,no,1552
1855,2020,2020-09-27,522,Corales Puntacana Resort & Club Championship,no,pga,basic,433
1859,2020,2020-09-20,26,U.S. Open,yes,pga,yes,333
1861,2020,2020-09-20,2020750,Open de Portugal at Royal Óbidos,no,euro,no,1560
1865,2020,2020-09-13,464,Safeway Open,yes,pga,yes,186
1870,2020,2020-09-13,2020090,Portugal Masters,no,euro,no,1565
1873,2020,2020-09-07,60,TOUR Championship,yes,pga,yes,211
1879,2020,2020-09-06,2020038,Estrella Damm N.A. Andalucia Masters ,no,euro,no,1572
1888,2020,2020-08-30,28,BMW Championship,yes,pga,yes,221
1890,2020,2020-08-30,2020011,ISPS HANDA UK Championship,no,euro,no,1581
1893,2020,2020-08-23,2020009,ISPS HANDA Wales Open,no,euro,no,1584
1897,2020,2020-08-23,27,THE NORTHERN TRUST,yes,pga,yes,243
1902,2020,2020-08-16,13,Wyndham Championship,yes,pga,yes,251
1906,2020,2020-08-16,2020007,Celtic Classic,no,euro,no,1592
1911,2020,2020-08-09,2020005,English Championship,no,euro,no,1597
1912,2020,2020-08-09,33,PGA Championship,yes,pga,yes,383
1917,2020,2020-08-02,472,Barracuda Championship,no,pga,basic,283
1918,2020,2020-08-02,476,World Golf Championships-FedEx St. Jude Invitational,yes,pga,yes,1349
1920,2020,2020-08-02,2020004,Hero Open,no,euro,no,1603
1924,2020,2020-07-26,525,3M Open,yes,pga,yes,274
1927,2020,2020-07-25,2020066,Betfred British Masters hosted by Lee Westwood,no,euro,no,1606
1929,2020,2020-07-19,23,the Memorial Tournament presented by Nationwide,yes,pga,yes,351
1930,2020,2020-07-18,2020732,Euram Bank Open,no,euro,no,1608
1932,2020,2020-07-12,533,Workday Charity Open,yes,pga,yes,1610
1936,2020,2020-07-12,2020731,Austrian Open,no,euro,no,1614
1938,2020,2020-07-05,524,Rocket Mortgage Classic,yes,pga,yes,310
1942,2020,2020-06-28,34,Travelers Championship,yes,pga,yes,324
1943,2020,2020-06-21,12,RBC Heritage,yes,pga,yes,428
1945,2020,2020-06-14,21,Charles Schwab Challenge,yes,pga,yes,375
1949,2020,2020-03-15,11,THE PLAYERS Championship,yes,pga,basic,468
1954,2020,2020-03-08,2020022,Commercial Bank Qatar Masters,no,euro,no,1623
1957,2020,2020-03-08,9,Arnold Palmer Invitational presented by Mastercard,yes,pga,yes,1
1960,2020,2020-03-01,2020020,Oman Open,no,euro,no,1628
1964,2020,2020-03-01,10,The Honda Classic,yes,pga,yes,12
1970,2020,2020-02-23,483,Puerto Rico Open,no,pga,basic,2
1972,2020,2020-02-23,473,World Golf Championships-Mexico Championship,yes,pga,yes,1487
1980,2020,2020-02-16,7,The Genesis Invitational,yes,pga,yes,31
1986,2020,2020-02-09,5,AT&T Pebble Beach Pro-Am,partial,pga,partial,47
1989,2020,2020-02-09,2020014,ISPS Handa Vic Open,no,euro,no,1648
1992,2020,2020-02-02,2020012,Saudi International powered by SoftBank Investment Advisors,no,euro,no,1651
1994,2020,2020-02-02,3,Waste Management Phoenix Open,yes,pga,yes,37
1996,2020,2020-01-26,2020010,Omega Dubai Desert Classic,no,euro,no,1652
1997,2020,2020-01-26,4,Farmers Insurance Open,partial,pga,partial,54
2003,2020,2020-01-19,2020008,Abu Dhabi HSBC Championship presented by EGA,no,euro,no,1657
2004,2020,2020-01-19,2,The American Express,partial,pga,partial,60
2009,2020,2020-01-12,2020006,South African Open hosted by the City of Johannesburg,no,euro,no,1660
2010,2020,2020-01-12,6,Sony Open in Hawaii,yes,pga,yes,66
2011,2020,2020-01-05,16,Sentry Tournament of Champions,yes,pga,yes,67
